Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,20-037,2006,14,3,462,5.1,2,0,2,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
Tay Abed,il ISR,MF,Levante,21-347,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdel Abqar,ma MAR,DF,Getafe,26-345,1999,12,9,837,9.3,0,1,1,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,Matches
Akor Adams,ng NGA,FW,Sevilla,26-020,2000,19,12,1230,13.7,6,2,8,4,2,2,1,0,0.44,0.15,0.59,0.29,0.44,Matches
David Affengruber,at AUT,DF,Elche,24-336,2001,22,20,1813,20.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
Julen Agirrezabala,es ESP,GK,Valencia,25-054,2000,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucien Agoume,fr FRA,MF,Sevilla,24-009,2002,21,19,1665,18.5,1,2,3,1,0,0,9,0,0.05,0.11,0.16,0.05,0.16,Matches
Marc Aguado,es ESP,MF,Elche,25-361,2000,23,19,1581,17.6,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
Pablo Agudín,es ESP,MF,Oviedo,18-102,2007,4,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Ahijado,es ESP,DF,Oviedo,31-019,1995,13,9,871,9.7,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,30-142,1995,3,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ilias Akhomach,ma MAR,MF,Villarreal,21-308,2004,9,2,188,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ilias Akhomach,ma MAR,MF,Rayo Vallecano,21-308,2004,3,2,200,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
David Alaba,at AUT,DF,Real Madrid,33-239,1992,6,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alexandre Alemão,br BRA,FW,Rayo Vallecano,27-323,1998,13,6,631,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
Carles Aleñá,es ESP,MF,Alavés,28-044,1998,24,17,1462,16.2,0,4,4,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,Matches
Trent Alexander-Arnold,eng ENG,"DF,MF",Real Madrid,27-134,1998,10,6,466,5.2,0,2,2,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches
Alfon,es ESP,MF,Sevilla,26-290,1999,10,4,312,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches
Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,24-298,2001,16,8,704,7.8,3,1,4,3,0,0,1,0,0.38,0.13,0.51,0.38,0.51,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,25-264,2000,14,9,813,9.0,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches
Marcos Alonso,es ESP,DF,Celta Vigo,35-052,1990,21,20,1793,19.9,1,0,1,0,1,1,2,0,0.05,0.00,0.05,0.00,0.00,Matches
Adrià Altimira,es ESP,DF,Villarreal,24-327,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergi Altimira,es ESP,MF,Real Betis,24-177,2001,16,9,803,8.9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
Carlos Álvarez,es ESP,MF,Levante,22-196,2003,23,20,1630,18.1,3,1,4,3,0,0,3,0,0.17,0.06,0.22,0.17,0.22,Matches
Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,22-231,2003,15,6,642,7.1,2,1,3,2,0,0,2,0,0.28,0.14,0.42,0.28,0.42,Matches
Julián Álvarez,ar ARG,FW,Atlético Madrid,26-018,2000,24,21,1667,18.5,7,3,10,5,2,3,2,0,0.38,0.16,0.54,0.27,0.43,Matches
Sofyan Amrabat,ma MAR,MF,Real Betis,29-181,1996,8,6,603,6.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Miguel Ángel Rubio,es ESP,DF,Espanyol,27-344,1998,8,1,157,1.7,1,0,1,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
Miguel Ángel Sierra,es ESP,FW,Sevilla,21-219,2004,4,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Antoniu,es ESP,MF,Espanyol,23-166,2002,8,1,115,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Antony,br BRA,"MF,FW",Real Betis,25-359,2000,19,19,1585,17.6,6,5,11,6,0,0,1,1,0.34,0.28,0.62,0.34,0.62,Matches
Mauro Arambarri,uy URU,MF,Getafe,30-141,1995,24,24,2128,23.6,5,1,6,3,2,2,3,0,0.21,0.04,0.25,0.13,0.17,Matches
Jon Aramburu,ve VEN,DF,Real Sociedad,23-210,2002,22,20,1819,20.2,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches
Juan Arango,ve VEN,MF,Girona,19-262,2006,2,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ronald Araújo,uy URU,DF,Barcelona,26-348,1999,13,7,674,7.5,2,0,2,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matches
Jesús Areso,es ESP,DF,Athletic Club,26-231,1999,20,12,1263,14.0,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Iñigo Arguibide,es ESP,DF,Osasuna,20-305,2005,5,2,179,2.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Kervin Arriaga,hn HON,MF,Levante,28-044,1998,17,12,1109,12.3,1,1,2,1,0,0,6,1,0.08,0.08,0.16,0.08,0.16,Matches
Takuma Asano,jp JPN,"MF,FW",Mallorca,31-100,1994,15,6,483,5.4,1,0,1,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
Raúl Asencio,es ESP,DF,Real Madrid,23-005,2003,17,12,1168,13.0,2,0,2,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
Iago Aspas,es ESP,"FW,MF",Celta Vigo,38-201,1987,21,8,784,8.7,2,3,5,1,1,1,3,0,0.23,0.34,0.57,0.11,0.46,Matches
Yaser Asprilla,co COL,"FW,MF",Girona,22-091,2003,15,6,611,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lander Astiazaran,es ESP,MF,Real Sociedad,19-317,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ezequiel Ávila,ar ARG,FW,Real Betis,32-012,1994,10,2,229,2.5,1,0,1,0,1,1,3,0,0.39,0.00,0.39,0.00,0.00,Matches
César Azpilicueta,es ESP,DF,Sevilla,36-174,1989,11,11,776,8.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Baena,es ESP,MF,Atlético Madrid,24-213,2001,16,11,829,9.2,2,1,3,2,0,0,3,0,0.22,0.11,0.33,0.22,0.33,Matches
