id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
280316716603656.0,TEAM-A4EC0F45,TEAM-720795A0,62,38,8,17,25,2,1,62,0,0
107894924367110.0,TEAM-550D05AB,TEAM-782246EA,75,25,12,22,29,2,1,66,0,0
191037104569540.0,TEAM-7C631724,TEAM-839B22B8,51,50,6,12,8,1,1,66,0,0
136755605360882.0,TEAM-BDDFCDFA,,57,43,5,16,40,4,2,60,0,0
149529704628947.0,TEAM-839B22B8,TEAM-7273A887,58,42,3,7,33,2,1,66,0,0
39518732591537.0,,TEAM-1C981597,57,43,2,13,36,5,3,100,0,0
125648939033193.0,TEAM-51EA86E0,TEAM-BDDFCDFA,45,55,4,4,32,6,5,50,0,0
43788885623702.0,TEAM-0587F59E,TEAM-0E077100,52,48,5,18,33,2,1,60,0,0
225843569246768.0,TEAM-93330B41,TEAM-27AC674B,70,31,7,26,22,2,1,57,0,0
125712383575680.0,,TEAM-A4EC0F45,47,53,5,25,50,3,2,40,0,0
70990788457885.0,TEAM-B2118D2C,TEAM-550D05AB,39,61,5,13,47,8,7,20,0,0
115383552720083.0,TEAM-D069E7F8,TEAM-7C631724,50,50,5,14,25,3,1,60,0,0
218211205609476.0,TEAM-782246EA,TEAM-A415D192,51,49,3,10,29,2,1,100,0,0
161406442093837.0,TEAM-720795A0,,59,41,4,18,17,1,1,75,0,0
121752485147317.0,,TEAM-D069E7F8,61,39,4,13,53,10,8,100,0,0
113189581016765.0,TEAM-B2118D2C,TEAM-0E077100,58,42,4,13,86,6,3,75,0,0
205022729024640.0,TEAM-550D05AB,TEAM-51EA86E0,68,32,9,27,36,4,3,77,0,0
43123034282656.0,TEAM-27AC674B,TEAM-7C631724,39,61,3,7,19,3,1,66,0,0
97542611844075.0,,TEAM-839B22B8,59,41,9,18,22,2,2,88,0,0
100012646648395.0,TEAM-A4EC0F45,TEAM-0587F59E,69,31,5,15,25,1,1,100,0,0
122694556029353.0,TEAM-720795A0,TEAM-782246EA,41,59,1,4,41,7,6,0,0,0
163343429060959.0,TEAM-1C981597,TEAM-A415D192,54,46,4,17,50,5,1,100,0,0
15045513827979.0,TEAM-7273A887,TEAM-93330B41,24,76,1,7,43,10,9,100,0,0
87432229548299.0,,TEAM-BDDFCDFA,63,38,3,13,40,2,2,100,0,0
5032611259275.0,TEAM-782246EA,TEAM-B2118D2C,40,60,3,5,17,1,0,33,0,0
125986801044396.0,TEAM-51EA86E0,,65,35,6,8,50,5,2,50,0,0
217617549854870.0,TEAM-D069E7F8,TEAM-A4EC0F45,32,68,7,16,31,4,4,85,0,0
240235579276521.0,TEAM-0587F59E,TEAM-7273A887,57,43,4,7,38,3,3,100,0,0
211188047924725.0,TEAM-BDDFCDFA,TEAM-27AC674B,57,43,3,15,42,5,3,100,0,0
266459115822441.0,TEAM-0E077100,TEAM-1C981597,63,37,4,20,38,5,4,100,0,0
,,,32,69,10,23,40,6,4,80,0,0
70416217227440.0,TEAM-839B22B8,TEAM-720795A0,62,39,7,17,45,5,2,71,0,0
99147758124915.0,TEAM-A415D192,,54,47,5,15,17,2,2,80,0,0
279595461165615.0,TEAM-7C631724,,57,43,5,17,44,4,2,100,0,0
26143173390922.0,TEAM-7273A887,TEAM-51EA86E0,40,60,4,12,50,4,3,50,0,0
57267236260772.0,TEAM-27AC674B,TEAM-A415D192,47,53,7,16,23,3,3,42,0,0
215273675829103.0,,TEAM-B2118D2C,47,53,6,15,20,2,2,50,0,0
128059159303519.0,TEAM-782246EA,TEAM-0587F59E,51,49,5,9,36,4,2,40,0,0
260045177303107.0,TEAM-93330B41,TEAM-BDDFCDFA,65,35,11,21,25,1,1,54,0,0
225474460646579.0,TEAM-1C981597,TEAM-720795A0,36,64,3,9,30,6,5,66,0,0
71552518573511.0,,TEAM-D069E7F8,54,46,4,13,11,2,1,50,0,0
120962390888885.0,TEAM-550D05AB,TEAM-A4EC0F45,49,51,5,17,33,3,2,40,0,0
16354935909941.0,TEAM-7C631724,TEAM-0E077100,53,48,8,15,7,1,1,62,0,0
108080026272328.0,,TEAM-839B22B8,53,47,2,8,45,5,5,100,0,0
86930806509335.0,TEAM-A4EC0F45,TEAM-782246EA,63,37,3,12,38,5,4,66,0,0
276761382324566.0,TEAM-51EA86E0,,52,48,2,10,36,5,5,50,0,0
120392036606919.0,TEAM-B2118D2C,TEAM-839B22B8,47,53,4,10,33,3,3,75,0,0
144025450835022.0,,TEAM-1C981597,74,26,10,25,50,3,2,80,0,0
49912487743273.0,TEAM-D069E7F8,TEAM-27AC674B,55,45,3,14,33,3,2,100,0,0
